year,ympe,exempt,worker,employer,selfemp,ca,arf,drc,nympe,reprate,droprate,pu1,pu2,pu3,pu4,survmax60,survmax65,survage1,survage2,survrate1,survrate2,era,nra,lra,supp,disab_rate,disab_base,cola,ympe_s2,worker_s1,employer_s1,worker_s2,employer_s2,selfemp_s1,selfemp_s2,reprate_s1,reprate_s2,supp_s1,supp_s2
2008,44900.00,3500.00,0.0495,0.0495,0.0990,0.0000,0.0600,0.0600,5.00,0.25,0.15,414.05,414.05,384.43,106.04,10614.96,10614.96,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,424.40,0.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2009,46300.00,3500.00,0.0495,0.0495,0.0990,0.0000,0.0600,0.0600,5.00,0.25,0.15,424.40,424.40,394.04,108.69,10905.00,10905.00,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,426.10,0.025,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2010,47200.00,3500.00,0.0495,0.0495,0.0990,0.0000,0.0600,0.0600,5.00,0.25,0.15,426.10,426.10,395.62,109.12,11210.04,11210.04,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,433.34,0.004,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2011,48300.00,3500.00,0.0495,0.0495,0.0990,0.0000,0.0600,0.0600,5.00,0.25,0.15,433.34,433.34,402.35,110.98,11520.00,11520.00,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,445.47,0.017,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2012,50100.00,3500.00,0.0503,0.0503,0.1005,0.0000,0.0600,0.0600,5.00,0.25,0.15,445.47,445.47,413.62,114.09,11840.04,11840.04,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,453.49,0.028,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2013,51100.00,3500.00,0.0510,0.0510,0.1020,0.0000,0.0600,0.0840,5.00,0.25,0.15,453.49,453.49,421.07,116.14,12150.00,12150.00,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,457.57,0.018,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2014,52500.00,3500.00,0.0518,0.0518,0.1035,0.0004,0.0600,0.0840,5.00,0.25,0.15,457.57,457.57,424.86,117.19,12459.96,12459.96,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,465.81,0.009,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2015,53600.00,3500.00,0.0525,0.0525,0.1050,0.0072,0.0600,0.0840,5.00,0.25,0.15,465.81,465.81,432.51,119.30,12780.00,12780.00,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,471.40,0.018,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2016,54900.00,3500.00,0.0533,0.0533,0.1065,0.0120,0.0600,0.0840,5.00,0.25,0.15,471.40,471.40,437.70,120.73,13110.00,13110.00,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,471.40,0.012,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2017,55300.00,3500.00,0.0540,0.0540,0.1080,0.0120,0.0600,0.0840,5.00,0.25,0.15,478.00,478.00,443.83,122.42,13370.04,13370.04,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,478.00,0.014,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2018,55900.00,3500.00,0.0540,0.0540,0.1080,0.0120,0.0600,0.0840,5.00,0.25,0.15,485.17,485.17,450.49,124.26,13610.04,13610.04,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.005,0.75,485.17,0.015,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2019,57400.00,3500.00,0.05,0.05,0.11,0.0120,0.0600,0.08,5.00,0.25,0.15,496.33,496.33,460.85,127.12,13854.96,13854.96,45.00,65.00,0.38,0.60,60.00,65.00,70.00,0.005,0.75,496.36,0.0230,1.00,0.0015,0.00,0.00,0.00,0.00,0.00,0.083,0.000,0.0016,0.0066
2020,58312.66,3500.00,0.05,0.05,0.11,0.0120,0.0600,0.08,5.00,0.25,0.15,511.22,511.22,474.68,130.93,14270.61,14270.61,45.00,65.00,0.38,0.60,60.00,65.00,70.00,0.005,0.75,511.25,0.0159,1.00,0.0030,0.00,0.00,0.00,0.01,0.00,0.083,0.000,0.0016,0.0066
2021,59239.83,3500.00,0.05,0.05,0.11,0.0120,0.0600,0.08,5.00,0.25,0.15,526.56,526.56,488.92,134.86,14698.73,14698.73,45.00,65.00,0.38,0.60,60.00,65.00,70.00,0.005,0.75,526.59,0.0159,1.00,0.0050,0.01,0.00,0.00,0.01,0.00,0.083,0.000,0.0016,0.0066
2022,60181.74,3500.00,0.05,0.05,0.11,0.0120,0.0600,0.08,5.00,0.25,0.15,542.35,542.35,503.58,138.91,15139.69,15139.69,45.00,65.00,0.38,0.60,60.00,65.00,70.00,0.005,0.75,542.39,0.0159,1.00,0.0075,0.01,0.00,0.00,0.02,0.00,0.083,0.000,0.0016,0.0066
2023,61138.63,3500.00,0.05,0.05,0.11,0.0120,0.0600,0.08,5.00,0.25,0.15,558.62,558.62,518.69,143.07,15593.88,15593.88,45.00,65.00,0.38,0.60,60.00,65.00,70.00,0.005,0.75,558.66,0.0159,1.00,0.0100,0.01,0.00,0.00,0.02,0.00,0.083,0.000,0.0016,0.0066
2024,62110.74,3500.00,0.05,0.05,0.11,0.0120,0.0600,0.08,5.00,0.25,0.15,575.38,575.38,534.25,147.37,16061.70,16061.70,45.00,65.00,0.38,0.60,60.00,65.00,70.00,0.005,0.75,575.42,0.0159,1.07,0.0100,0.01,0.04,0.04,0.02,0.08,0.083,0.333,0.0016,0.0066
2025,63098.30,3500.00,0.05,0.05,0.11,0.0120,0.0600,0.08,5.00,0.25,0.15,592.64,592.64,550.28,151.79,16543.55,16543.55,45.00,65.00,0.38,0.60,60.00,65.00,70.00,0.005,0.75,592.68,0.0159,1.14,0.0100,0.01,0.04,0.04,0.02,0.08,0.083,0.333,0.0016,0.0066
